Model,Threshold_Used,Precision,Recall,F1_Score,Balanced_Accuracy,Brier_Score,ROC_AUC,PR_AUC
Hybrid (Calibrated),0.32,0.8823706497025201,0.9332836158570819,0.907113304665103,0.8340703793571124,0.11585039792080484,0.9172985109745544,0.9437608721902174
LightGBM Only (Raw),0.32,0.8726348616150409,0.9754066079553548,0.9211631063120952,0.8360068754062489,0.10125630140045247,0.919289452074308,0.944401313107061
IsolationForest Only (Raw),0.32,0.8012223356901753,0.861229585808733,0.8301429609886116,0.7029451500472237,0.3287261077169747,0.6065356897461894,0.7711639827507208
